Category;Subcategory;Description;Fact;Fact alternative/ old version;Support;Support Alternative/ old version;Opposition
Legal gender recognition;No age restriction;No age restriction covers when existing legal measures for legal gender recognition do not include an explicit minimum or maximum age restrictions, individuals of any age use the same process, when the minor does not have full legal capacity, a legal representative can be obliged to make the procedures on their behalf.;Do existing legal measures for gender recognition exclude any explicit minimum or maximum age restrictions?;;Should existing legal measures for gender recognition exclude any explicit minimum or maximum age restrictions?;;Should existing legal measures for gender recognition include minimum or maximum age restrictions?
Legal gender recognition;Legal gender recognition procedures exist for minors;Legal gender recognition procedures exist for minors, covers when a legal measure for accessing legal gender recognition is available for minors and provides consistent results.;Is legal measure for accessing legal gender recognition available for minors and provides consistent results?;;Should legal measure for assessing legal gender recognition be available for minors and provides consistent results?;;Should legal measure for assessing legal gender recognition be available for minors?
Legal gender recognition;Depathologisation;"Depathologisation covers when: 
-No mental health diagnosis relating to trans identities in national clinical classification standards or equivalent, neither for adults/ adolescents nor for pre-puberty children 
-Access to and cost coverage for trans-specific healthcare (TSHC) for adults/ adolescents is possible without requiring a mental health assessment or diagnosis. 
-Access to and cost coverage for support services for pre-puberty trans and gender variant children is ensured without requesting a diagnosis of “Gender Incongruence in Childhood” (ICD11) or equivalent.";Are trans-specific healthcare (TSHC) for adults/ adolescents and support services for pre-puberty trans and gender variant children accessible and financially covered without requiring a mental health assessment or diagnosis? ;;Should trans-specific healthcare (TSHC) for adults/ adolescents and support services for pre-puberty trans and gender variant children be accessible and financially covered without requiring a mental health assessment or diagnosis? ;;Should trans-specific healthcare (TSHC) for adults/ adolescents and support services for pre-puberty trans and gender variant children not be accessible and financially covered without requiring a mental health assessment or diagnosis? 
Intersex bodily integrity;Prohibition of medical intervention without informed consent (intersex);Prohibition of medical intervention before child is able to give informed consent (intersex) covers when medical practitioners or other professionals are prohibited by law from conducting any kind of surgical or medical intervention on an intersex minor when the intervention has no medical necessity and can be avoided or postponed until the person can provide informed consent.;Are medical practitioners prohibited by law from conducting any kind of surgical or medical intervention on an intersex minor when the intervention has no medical necessity and can be avoided or postponed until the person can provide informed consent?;;Should medical practitioners be prohibited by law from conducting any kind of surgical or medical intervention on an intersex minor when the intervention has no medical necessity and can be avoided or postponed until the person can provide informed consent?;;Should medical practitioners be allowed by law to conduct any kind of surgical or medical intervention on an intersex minor when the intervention has no medical necessity and can be avoided or postponed until the person can provide informed consent?
Intersex bodily integrity;Universality of prohibition of medical interventions;Universality of prohibition of medical interventions covers when bodily integrity protections are universal to all persons, not based on specific variations or diagnoses or intersex terms, and medical practitioners or other professionals are prohibited by law from conducting any kind of surgical or medical intervention on anybody without their personal consent except in the case of vital reasons. This point can only be awarded when “Prohibition of medical intervention before child is able to give informed consent” is also awarded.;Are medical practitioners or other professionals prohibited by law from conducting any kind of surgical or medical intervention on anybody without their personal consent except in the case of vital reasons?;;Should medical practitioners or other professionals be prohibited by law from conducting any kind of surgical or medical intervention on anybody without their personal consent except in the case of vital reasons?;;Should medical practitioners or other professionals be allowed by law to conduct surgical or medical intervention based on specific variations or diagnoses or intersex terms even without personal consent?
Intersex bodily integrity;Existence of effective monitoring mechanism;"Existence of effective monitoring mechanism covers when: 
-A monitoring mechanism for the prohibition of medical intervention on an intersex minor has been established. 
-The monitoring mechanism is an independent entity from the medical establishment.-
There are clear responsibilities for monitoring and reporting of the mechanism. 
-This point can only be awarded when “Prohibition of medical intervention before child is able to give informed consent” is also awarded.";Does a monitoring mechanism, as independent entity from the medical establishment, exists to oversee the prohibition of medical intervention on intersex minors?;;Should a monitoring mechanism, as independent entity from the medical establishment, exists to oversee the prohibition of medical intervention on intersex minors?;;Should a monitoring mechanism, as independent entity from the medical establishment, not exists to oversee the prohibition of medical intervention on intersex minors?
Intersex bodily integrity;Access to justice for victims and reparations;Access to justice for victims and reparations covers when prohibition of medical interventions on intersex minor provides adequate acknowledgement of the suffering and injustice caused to intersex people in the past and provides adequate redress, reparation, access to justice and the right to truth with clear and effective mechanisms.;Does the prohibition of medical interventions on intersex minors include mechanisms that acknowledge past harms, provide redress or reparations, ensure access to justice, and the right to truth?;;Should the prohibition of medical interventions on intersex minors include mechanisms that acknowledge past harms, provide redress or reparations, ensure access to justice, and the right to truth?;;Should the prohibition of medical interventions on intersex minors exclude mechanisms that acknowledge past harms, provide redress or reparations, ensure access to justice, and the right to truth?
Civil society space;Public event held, no state obstruction of freedom of assembly (last 3 years);Public event held, no state obstruction of freedom of assembly (last 3 years) covers when laws, policies and practices allow for full exercise of the right to free assembly, so LGBTI public events are held without obstruction.;Do laws, policies, and practices allow for full exercise of the right to free assembly, including LGBTI public events?;;Should laws, policies, and practices allow for full exercise of the right to free assembly, including LGBTI public events?;;Should laws, policies, and practices not allow for the full exercise of the right to free assembly, including LGBTI public events?
Civil society space;Public event held, there is enough protection (last 3 years);Public event held, there is enough protection (last 3 years) covers when LGBTI public events are sufficiently protected by public authorities (e.g. police) who ensure their due course, including protection from disruption or attacks.;Are LGBTI public events protected by public authorities that ensure their due course, including protection from disruption or attacks?;;Should LGBTI public events be protected by public authorities that ensure their due course, including protection from disruption or attacks?;;Should LGBTI public events not be protected by public authorities that ensure their due course, including protection from disruption or attacks?
Civil society space;Associations operate, no state obstruction of freedom association (last 3 years);Associations operate, no state obstruction of freedom association (last 3 years) covers when there are no legal and administrative restrictions on the functioning of LGBTI organisations or publications, including state registration, cooperation with authorities, access to national funding, etc.;Are there no legal and administrative restrictions on the functioning of LGBTI organisations or publications?;;Should there be no legal and administrative restrictions on the functioning of LGBTI organisations or publications?;;Should there be legal and administrative restrictions on the functioning of LGBTI organisations or publications?
Civil society space;LGBTI human rights defenders are not at risk;LGBTI human rights defenders are not at risk covers when LGBTI human rights defenders are not intimidated and criminalised for their work (e.g. no LGBTI HRDs arrested, in jail or harassed by public authorities in relation to their human rights work and activism).;Are LGBTI human rights defenders not intimidated and criminalised for their work?;;Should LGBTI human rights defenders not be intimidated and criminalised for their work?;;Should LGBTI human rights defenders be intimidated and criminalised for their work?
Civil society space;No laws limiting external funding;No laws limiting receipt of funding covers when there are no explicit government regulations banning organisations from receiving funding (national, foreign and/or private) (e.g. ‘foreign agent’ laws).;Are there no explicit government regulations banning organisations from receiving funding?;;Should there not be explicit government regulations banning organisations from receiving funding?;;Should there be explicit government regulations banning organisations from receiving funding?
Civil society space;No laws limiting freedom of expression (national/local);No laws limiting expression (national/local) covers when there is no legislation limiting freedom of expression on LGBTI issues (e.g. anti-propaganda laws, censorship laws etc.) either at national or local level.;Is there no legislation limiting freedom of expression on LGBTI issues, either at the national and local levels?;;Should there be no legislation limiting freedom of expression on LGBTI issues, either at the national and local levels?;;Should there be legislation limiting freedom of expression on LGBTI issues?
Asylum;Asylum law (sexual orientation);Asylum law (sexual orientation) covers when sexual orientation is expressly included in asylum law as a qualification criteria.;Is sexual orientation expressly included in asylum law as a qualification criteria?;;Should sexual orientation be expressly included in asylum law as a qualification criterion?;;Should sexual orientation be excluded from asylum law as a qualification criterion?
Asylum;Other positive measures (sexual orientation);Legislation/policy/other positive measures (sexual orientation) covers national policies and/or other legal or non-legal positive measures related to asylum that have specific provisions addressing the needs and rights of gay, lesbian and bisexual refugees and/or asylum seekers. This pertains solely to actions undertaken within a persistent and ongoing framework by governmental entities (isolated or ad hoc measures are not considered). Examples are consistent training framework for caseworkers, publicly available guidelines of the national agency for asylum prepared in partnership with LGBTI organisations, safe reception centres and accommodation options for LGBTI people, and other measures can be taken into account.;Are there any national policies or legal or non-legal measures related to asylum that specifically address gay, lesbian, and bisexual refugees or asylum seekers' needs?;;Should there be national policies or legal or non-legal measures related to asylum that specifically address gay, lesbian, and bisexual refugees or asylum seekers' needs?;;Should there not be any national policies or legal or non-legal measures related to asylum that specifically address gay, lesbian, and bisexual refugees or asylum seekers' needs?
Asylum;Asylum law (gender identity);Law (gender identity) covers when gender identity is expressly included in asylum law as a qualification criteria.;Is gender identity expressly included in asylum law as a qualification criterion?;;Should gender identity be expressly included in asylum law as a qualification criterion?;;Should gender identity be excluded in asylum law as a qualification criterion?
Asylum;Other positive measures (gender identity);"Legislation/policy/other positive measures (gender identity) covers national policies and/or other legal or non-legal positive measures related to asylum that have specific provisions addressing the needs and rights of trans and non-binary refugees and/or asylum seekers. 
This pertains solely to actions undertaken within a persistent and ongoing framework by governmental entities (isolated or ad hoc measures are not considered). Examples are consistent training framework for caseworkers, access to legal gender recognition for trans and non-binary refugees, publicly available guidelines of the national agency for asylum prepared in partnership with LGBTI organisations, safe reception centres and accommodation options for trans and non-binary people, and other measures can be taken into account.";Are there any national policies or legal or non-legal measures related to asylum that specifically address trans and non-binary refugees or asylum seekers' needs?;;Should there be national policies or legal or non-legal measures related to asylum that specifically address trans and non-binary refugees or asylum seekers' needs?;;Should there not be any national policies or legal or non-legal measures related to asylum that specifically address trans and non-binary refugees or asylum seekers' needs?
Asylum;Asylum law (intersex);Law (intersex) covers when intersex status or sex characteristics is expressly included in law as a qualification criterion.;Is intersex status or sex characteristics expressly included in asylum law as a qualification criterion?;;Should intersex status or sex characteristics be expressly included in asylum law as a qualification criterion?;;Should intersex status or sex characteristics be excluded in asylum law as a qualification criterion?
Asylum;Other positive measures (intersex);"Legislation/policy/other positive measures (sex characteristics) covers national policies and/or other legal or non-legal positive measures related to asylum that have specific provisions addressing the needs and rights of intersex refugees and/or asylum seekers. 
This pertains solely to actions undertaken within a persistent and ongoing framework by governmental entities (isolated or ad hoc measures are not considered). Examples are consistent training framework for caseworkers, access to legal gender recognition for intersex refugees, publicly available guidelines of the national agency for asylum prepared in partnership with LGBTI organisations, safe reception centres and accommodation options for LGBTI people, and other measures can be taken into account.";Are there any national policies or legal or non-legal measures related to asylum that specifically address intersex refugees or asylum seekers' needs?;;Should there be national policies or legal or non-legal measures related to asylum that specifically address intersex refugees or asylum seekers' needs?;;Should there not be any national policies or legal or non-legal measures related to asylum that specifically address intersex refugees or asylum seekers' needs?
